Year,ANA,ARI,ATL,BAL,BOS,CHC,CHW,CIN,CLE,COL,DET,FLA,HOU,KCR,LAD,MIL,MIN,NYM,NYY,OAK,PHI,PIT,SDP,SEA,SFG,STL,TBD,TEX,TOR,WSN
2008,0.191650698,0.001656881,0.002958569,0.002275928,0.443150329,0.177160411,0.12864033,0.000446115,0.001197458,0.001046435,0.001192796,0.000268709,0.005697433,0.007574164,0.212131301,0.255676686,0.001815295,0.00206661,0.001329213,0.000298778,0.245339322,0.001118357,0.000665315,0.001862579,0.005865165,0.001381234,0.197091711,0.001298422,0.007243037,0.001149372
2009,0.277940719,0.002083256,0.000789607,0.00140984,0.191128661,0.000915584,0.001068007,0.002100084,0.000862424,0.1105979,0.001216392,0.00068773,0.002609207,0.006219876,0.332384416,0.000534199,0.12806952,0.006434029,0.5101949,0.001846293,0.259811617,0.001945655,0.001322082,0.003156337,0.002637736,0.20684374,0.00274538,0.001853293,0.003192917,0.00054862
2010,0.001021368,0.000684948,0.10655591,0.000945227,0.002827091,0.001128456,0.001856605,0.23714841,0.000576969,0.000710748,0.000883065,0.000434879,0.001689126,0.002593655,0.001645571,0.000879162,0.333016223,0.001169924,0.145949818,0.002860985,0.028849906,0.000734263,0.000966787,0.001112875,0.501897925,0.001262922,0.197166734,0.236324226,0.08444281,0.000459504
2011,0.00414293,0.242518984,0.000561828,0.000868495,0.009317792,0.001068367,0.001277697,0.00041441,0.000476087,0.001137262,0.183652557,0.025047251,0.003246002,0.006017886,0.001208083,0.210993501,0.001047221,0.001586585,0.082911858,0.001398201,0.194887834,0.000406947,0.001048199,7.29E-05,0.001300725,0.247466883,0.413091431,0.667139858,0.001142979,0.000608389
2012,0.006441134,0.002212355,0.085012891,0.071231616,0.003722408,0.002373551,0.001286408,0.213961167,0.001877717,0.001376094,0.21939579,0.001339088,0.00052961,0.003267841,0.001075257,0.003195098,0.001525198,0.002941941,0.214917555,0.065101992,0.002336879,0.000517949,0.002459707,0.002138709,0.297309399,0.104821204,0.001325649,0.307155878,0.000682733,0.281741411
2013,0.000536918,0.00112539,0.036425685,0.003391355,0.329218806,0.003701527,0.000458148,0.254173291,0.11421509,0.000840869,0.202523225,0.000712453,0.000311469,0.00215899,0.191623069,0.001900986,0.000205187,0.000553463,0.000517641,0.208905431,0.000577205,0.099010203,0.00056505,0.000586074,0.000824679,0.242270263,0.415981935,0.000911281,0.002191387,0.000959543
2014,0.164350877,0.001315177,0.000409157,0.093925004,0.000170069,0.000401789,0.000499674,0.002694449,0.000671827,0.001370926,0.138902215,0.000256023,0.000176491,0.235820342,0.263602109,0.002760657,0.000471638,0.000499164,0.00095847,0.08816707,0.000673153,0.078756908,0.000330958,0.002187415,0.139356615,0.214255474,0.00186228,0.000776134,0.002676033,0.050452561
2015,0.001264238,0.001159426,0.000940737,0.01264458,0.00291237,0.064983816,0.000691883,0.001431752,0.009787256,0.000654371,0.002581699,0.002065943,0.355276314,0.411838279,0.191236219,0.00118871,0.000810633,0.151240638,0.069487554,0.004103537,0.000455713,0.019974622,0.000912714,0.001652356,0.004434367,0.057480818,0.000277404,0.079659037,0.418509371,0.000279978
2016,0.002038188,0.001189497,0.001166444,0.068492964,0.613617744,0.824863447,0.001563728,0.002462477,0.339542714,0.002000798,0.00052326,0.002927776,0.000986388,0.001218843,0.265346504,0.000194485,0.000505721,0.043860818,0.000941379,0.002436297,0.001002896,0.007294762,0.000481689,0.000503471,0.339738356,0.000470422,0.002748535,0.069965048,0.064087332,0.181432612
2017,0.001419909,0.240206337,0.001810701,0.000487002,0.120300173,0.102578431,0.000725313,0.00219175,0.5647754,0.147724489,0.001424307,0.019783162,0.630647385,0.001142172,0.288134467,2.99E-05,0.180852252,0.000965338,0.087614338,0.00077525,0.001789155,0.000472057,0.000507439,0.002069487,0.000959983,0.001396812,0.000442507,0.000219818,0.000452154,0.365202955
2018,0.000941098,0.000488191,0.414250518,0.000581343,0.441250044,0.024497289,0.000669589,0.00050896,0.364777155,0.246610739,0.001197263,0.00027512,0.402952557,0.001704409,0.15625959,0.127283525,0.000843522,0.00127387,0.035854473,0.205694817,0.000214865,0.002592915,0.000507643,0.002107771,0.000319267,6.39E-05,0.002409085,0.000237545,0.00107126,0.002343394
2019,0.000980855,0.00175518,0.049121764,0.001328709,0.002559044,0.000323796,0.000487017,0.001841485,0.001734127,0.000886674,0.000416216,0.002044586,0.678108064,0.001763801,0.354134162,0.058110627,0.157104705,0.000998449,0.152209206,0.146774826,0.000765261,0.003269138,0.000505922,0.000345958,0.001054771,0.15227374,0.17494907,0.000285728,0.000876504,0.26819622
2020,4.75E-06,1.75E-05,0.015260491,1.19E-05,6.31E-07,0.002206469,0.148395842,0.198155011,0.358985913,6.10E-07,3.74E-06,0.103575121,0.070612168,0.000209293,0.769769166,0.074099894,0.051042435,3.14E-05,0.012265967,0.016112843,8.48E-07,1.24E-05,0.045709919,0.001274899,8.42E-06,0.362225948,0.356471389,9.21E-06,0.191866381,5.32E-07
2021,0.000507626,0.001697479,0.244948155,0.0010717,0.115704628,0.000492612,0.244540897,0.000686437,0.001690255,0.000945424,0.000525949,0.000464788,0.271447869,0.001346308,0.107184319,0.146730583,0.001134579,0.001237066,0.037316078,0.000737136,0.000779987,0.000718622,0.003213939,0.000242065,0.221163878,0.202385864,0.185054596,0.001199949,0.017860518,0.00410204
2022,0.001480509,0.001437911,0.179769766,0.000558482,0.002117658,0.001255559,0.000983487,0.000381947,0.289328999,0.000717179,0.000152547,0.001831384,0.503201602,0.000680719,0.29947373,0.000931217,0.001276581,0.169627955,0.128537743,0.001735217,0.217123501,0.000187507,0.138543322,0.040559609,9.64E-05,0.247495862,0.207077496,0.000788849,0.311537867,0.001341796
2023,0.000284638,0.353824414,0.303813969,0.227381667,0.002596879,0.000596717,0.001016389,0.000964478,0.00357494,0.000471649,0.000408452,0.142656609,0.212196699,0.002166948,0.089284055,0.131210455,0.077600996,0.000324362,0.00035577,0.000535861,0.19268631,0.001145093,0.001208118,0.000452903,0.000127278,0.000268816,0.250719426,0.234643508,0.236886432,0.001821784
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,0.005734311,1.44E-08,0.435534022,3.76E-06,0.407967718,0.075184064,0.003802144,3.41E-06,0.126462382,2.08E-06,3.09E-08,1.28E-08,0.221828943,5.06E-05,8.15E-05,2.80E-08,1.31E-06,0.008428708,0.3314501,9.72E-07,8.32E-05,1.23E-09,0.256125368,7.56E-05,0.00522231,4.48E-05,4.47E-08,0.068978039,0.00011925,2.38E-06
1999,1.68E-06,0.265783164,0.378097792,5.06E-06,0.532730124,2.07E-10,0.004609874,0.014801489,0.13071208,2.26E-08,6.68E-05,1.57E-08,0.111849894,1.44E-06,9.20E-05,1.80E-08,2.89E-08,0.37355125,0.335397897,0.001932806,8.49E-05,6.17E-05,1.11E-06,2.57E-05,0.005142256,7.60E-07,1.84E-08,0.097499328,5.56E-05,3.79E-06
2000,8.38E-05,0.000157571,0.206540984,2.91E-06,0.008948094,6.01E-10,0.227609646,0.007608987,0.003857159,2.57E-06,6.67E-05,4.76E-05,6.70E-07,2.27E-06,0.005404641,3.90E-05,2.18E-08,0.267603657,0.210743621,0.067389272,5.15E-08,3.93E-08,3.41E-08,0.249800281,0.219391563,0.085504472,2.47E-08,9.64E-07,4.87E-05,1.26E-06
2001,0.000121291,0.296834992,0.235220536,1.81E-06,0.006699417,0.00015312,0.00014642,1.70E-08,0.118540924,5.42E-08,1.06E-06,4.22E-06,0.176868537,5.53E-08,0.000126929,5.24E-07,0.004711094,0.000115944,0.217609642,0.452944538,0.005117065,5.91E-10,5.62E-07,0.559240596,0.005646105,0.217461139,3.60E-08,5.24E-07,4.56E-05,4.86E-08
2002,0.71057646,0.311843365,0.38408353,3.12E-06,0.040650961,2.88E-08,0.009336143,4.90E-05,6.93E-05,1.24E-06,1.98E-08,1.76E-06,0.00476387,1.65E-06,0.00048316,7.31E-10,0.261311922,4.52E-08,0.161835749,0.264579009,0.000259528,1.61E-06,2.32E-08,0.000166281,0.439753372,0.412634413,2.12E-08,1.69E-06,6.29E-05,0.003817016
2003,0.00025395,0.00028393,0.389623234,1.78E-06,0.460206123,0.337510159,0.019833386,5.49E-09,2.25E-06,6.39E-07,9.15E-09,0.333970961,0.015453073,8.19E-05,0.016481405,2.15E-10,0.154187567,3.58E-08,0.144851948,0.592894391,0.000194191,1.37E-06,3.72E-08,0.014665221,0.357367279,0.0001356,7.13E-08,6.89E-07,7.71E-05,3.20E-06
2004,0.196211656,5.88E-08,0.122599732,0.000181301,0.337966753,0.000253691,0.003556369,2.85E-07,0.000101121,5.07E-07,8.95E-07,0.000204786,0.319371611,1.33E-08,0.115838117,5.46E-10,0.173513873,1.68E-06,0.132935184,0.007111999,0.003160457,4.47E-08,0.000228378,1.62E-06,0.010779231,0.328886631,3.46E-06,6.79E-05,3.62E-08,7.39E-08
2005,0.361838791,0.001684943,0.15239736,5.03E-06,0.243265506,1.46E-05,0.207244263,5.83E-09,0.015510346,1.57E-08,1.80E-06,0.000227521,0.313826771,1.83E-08,2.37E-06,0.000200391,0.000120015,0.000143465,0.13514057,0.046843452,0.00677738,1.16E-09,0.19357654,2.75E-06,0.000231562,0.326552859,3.28E-08,3.82E-05,0.000174098,6.31E-08
2006,0.015174558,3.83E-06,4.91E-05,2.12E-06,6.28E-05,2.72E-09,6.32E-05,2.65E-05,8.18E-07,1.36E-06,0.209744608,1.31E-06,0.004655951,1.87E-08,0.285702642,1.39E-06,0.234066607,0.30945764,0.232085908,0.126692222,0.001262686,1.62E-08,0.244792782,2.05E-06,0.000304924,0.24676462,1.43E-08,8.53E-05,0.018034117,2.80E-08
2007,0.33870743,0.147969693,0.000128386,3.71E-06,0.542069647,0.509064111,6.09E-07,1.57E-08,0.077126432,0.177151891,0.006433829,7.56E-09,1.22E-06,3.05E-08,5.25E-06,0.002730955,0.000162164,0.009263003,0.320402007,8.24E-05,0.068199762,3.24E-10,0.000116381,0.004256246,9.14E-08,0.000120618,4.70E-09,8.19E-07,0.000405269,1.61E-06
2008,0.192545415,0.003891731,4.42E-06,5.43E-08,0.489551857,0.359800023,0.192573889,1.96E-08,5.10E-05,3.55E-05,2.94E-08,4.49E-05,0.000108151,3.16E-06,0.238886653,0.226351153,0.003106947,0.006094015,0.000110569,8.12E-05,0.15384225,4.48E-10,1.77E-08,2.54E-06,4.60E-06,2.04E-06,0.174835179,0.00095665,1.25E-05,3.01E-08
2009,0.126546265,2.29E-08,0.000184313,2.07E-08,0.235428739,0.00745081,8.77E-05,2.16E-06,6.89E-07,0.132525238,0.00242859,0.003220238,3.97E-08,1.53E-06,0.397914229,3.63E-05,0.100944478,4.67E-06,0.399668612,2.51E-06,0.129459228,7.11E-10,1.43E-06,0.000167433,0.000221494,0.25305556,7.60E-05,0.002734581,3.02E-06,1.50E-08
2010,0.000113191,6.44E-09,0.331272617,3.12E-08,0.000273914,4.28E-08,0.00567534,0.141370598,1.28E-06,5.08E-05,0.000100801,3.67E-05,2.02E-06,4.89E-08,2.90E-06,4.70E-05,0.234457957,1.87E-06,0.210044505,0.010564515,0.233106425,2.85E-10,0.003653825,9.97E-07,0.368482953,0.007026575,0.159817116,0.301967312,3.32E-06,1.76E-08
2011,0.006886259,0.118582611,0.002583735,1.74E-08,0.000405368,3.38E-08,9.26E-05,4.91E-05,0.00165943,1.06E-06,0.188644851,3.20E-08,8.81E-10,3.50E-06,0.000139891,0.253995681,2.17E-08,2.25E-06,0.127354886,0.000144064,0.285293792,5.25E-07,2.65E-08,1.14E-06,0.01322782,0.331319368,0.214155888,0.552708424,1.66E-06,3.57E-05
2012,0.000159854,6.75E-05,0.118038893,0.082417384,5.85E-08,3.04E-08,0.002165616,0.167267497,1.26E-06,8.74E-09,0.176604079,2.18E-08,1.70E-10,9.02E-05,0.008246135,5.68E-05,2.59E-08,2.04E-06,0.145168449,0.07299867,0.000121918,7.61E-07,1.92E-06,1.11E-06,0.255361598,0.165423428,9.02E-05,0.28666211,7.83E-07,0.210984849
2013,3.97E-05,0.003737119,0.068523583,0.000104025,0.283439316,7.73E-08,2.08E-08,0.329635503,0.147361137,1.55E-08,0.276880668,1.92E-08,3.81E-09,0.000134079,0.254121071,1.16E-06,1.95E-07,5.32E-07,8.45E-07,0.261011604,8.84E-07,0.120577151,3.21E-05,4.45E-07,3.52E-06,0.337125519,0.263585806,0.005871165,3.77E-08,0.003434328
2014,0.247471779,2.46E-08,0.001260426,0.11442785,1.64E-08,1.20E-08,5.84E-07,2.20E-06,9.03E-05,6.83E-07,0.15510836,3.28E-07,3.32E-07,0.335659389,0.214289279,0.000112932,8.48E-09,7.15E-05,0.003207053,0.21540838,1.93E-08,0.148874436,4.50E-05,0.00011938,0.129077148,0.24697017,4.07E-06,1.92E-08,0.000101592,0.102623397
2015,8.05E-05,3.97E-05,1.29E-06,2.95E-05,3.31E-08,0.14061172,9.62E-07,2.01E-08,0.000342128,8.28E-09,1.92E-08,6.56E-05,0.100225147,0.387005616,0.143166594,9.17E-07,0.001261889,0.167061752,0.122755118,5.61E-08,7.77E-09,0.117129885,1.02E-06,6.93E-07,0.006908312,0.148789724,2.07E-06,0.081427625,0.281596031,0.002006674
2016,2.49E-06,2.41E-07,3.90E-08,0.081074492,0.407162637,0.439744031,1.08E-06,1.94E-08,0.240898108,2.59E-05,0.001460111,7.64E-05,2.43E-05,4.83E-05,0.172367686,2.25E-07,3.83E-09,0.067673493,1.59E-06,3.16E-08,3.33E-07,2.41E-05,7.82E-09,0.001600428,0.253672855,0.002166191,1.51E-08,0.076239569,0.098601073,0.199136426
2017,0.002895616,0.13036695,6.13E-05,7.65E-09,0.173377737,0.11357982,6.67E-07,1.30E-08,0.539866943,0.152623324,7.65E-09,0.001609473,0.556096741,4.36E-05,0.308318684,0.000733097,0.073104102,5.10E-07,0.10239373,1.24E-08,1.13E-08,8.08E-07,2.51E-07,6.26E-05,2.04E-08,4.85E-05,1.50E-05,3.08E-07,6.40E-07,0.231833407
2018,1.09E-06,3.65E-05,0.382224803,4.56E-09,0.441296659,0.109677921,2.71E-07,8.18E-09,0.227900784,0.080532762,4.04E-05,1.00E-08,0.437696155,1.02E-08,0.150473608,0.080562528,0.002713231,8.30E-07,0.078294367,0.192707216,1.59E-05,2.15E-06,6.35E-09,5.60E-05,4.84E-07,3.36E-05,0.000104559,5.15E-09,7.57E-07,0.004527249
2019,1.04E-06,0.002018998,0.04106927,4.70E-09,7.07E-05,2.85E-05,1.17E-05,8.03E-07,0.004260176,2.09E-07,3.08E-09,1.69E-08,0.611729211,3.35E-07,0.331615017,0.043747165,0.083495917,3.65E-05,0.073936922,0.131601375,6.37E-07,2.54E-08,4.43E-09,3.77E-09,4.10E-05,0.073925057,0.093360359,8.79E-06,3.19E-07,0.15883601
2020,8.09E-06,2.43E-07,0.660688418,9.09E-06,3.08E-07,0.209072212,0.020608879,0.009511881,0.02738985,3.57E-06,5.96E-08,0.016636598,0.053603142,6.89E-06,0.438782013,0.068500405,0.230083828,1.12E-05,0.022450893,0.316655507,0.000262495,6.73E-08,0.044458176,0.000193526,0.00053345,0.023342974,0.373725035,7.10E-08,0.107424239,1.66E-05
2021,8.17E-07,1.07E-08,0.121943291,5.75E-09,0.132340164,1.92E-07,0.200391166,6.51E-05,0.002195058,9.30E-07,1.49E-05,4.00E-07,0.39350936,1.17E-06,0.095801902,0.144424367,1.70E-08,4.84E-05,0.029356998,5.02E-05,0.002018007,1.50E-08,0.000101497,0.000739486,0.110618694,0.115887929,0.100302807,9.85E-09,5.07E-06,3.18E-08
2022,2.02E-05,1.17E-06,0.176791578,7.60E-07,4.66E-08,3.49E-05,0.003828462,4.86E-07,0.346282781,1.10E-08,6.15E-07,8.09E-07,0.562571985,1.12E-08,0.599046706,0.002173646,6.34E-05,0.18954078,0.099476471,1.35E-08,0.167352759,4.98E-09,0.139522649,0.05085447,2.03E-05,0.202353333,0.067888416,4.35E-07,0.208537864,1.79E-08
2023,3.35E-07,0.131723256,0.163590868,0.15753098,3.81E-08,0.00224389,7.16E-07,1.70E-05,0.000175355,2.99E-09,0.001168081,0.218544155,0.194368096,1.19E-08,0.208396828,0.129713164,0.03690554,7.19E-07,6.51E-07,4.45E-09,0.083364609,7.84E-07,0.000112264,3.22E-05,4.21E-07,7.85E-09,0.112566212,0.160944443,0.313122309,2.37E-08
