Year,ANA,,ARI,,ATL,,BAL,,BOS,,CHC,,CHW,,CIN,,CLE,,COL,,DET,,FLA,,HOU,,KCR,,LAD,,MIL,,MIN,,NYM,,NYY,,OAK,,PHI,,PIT,,SDP,,SEA,,SFG,,STL,,TBD,,TEX,,TOR,,WSN,
2008,0.001022543,0.000685871,0.004859124,0.000685871,0.007049534,0.000685871,0.004285244,0.000685871,0.011582944,0.000685871,0.006507958,0.000685871,0.002290276,0.000685871,8.75E-05,0.000685871,0.025475495,0.000685871,0.003795036,0.000685871,0.006450353,0.000685871,0.005349979,0.000685871,0.001239755,0.000685871,0.010307862,0.000685871,0.005025975,0.000685871,0.01543903,0.000685871,6.49E-05,0.000685871,0.002003258,0.000685871,0.023151275,0.000685871,0.000972379,0.000685871,0.468645254,0.5,0.00125433,0.000685871,0.000602226,0.000685871,0.000691932,0.000685871,0.026656295,0.000685871,0.000249212,0.000685871,0.314608662,0.5,0.020033565,0.000685871,0.005171529,0.000685871,0.004053311,0.000685871
2009,0.001697363,0.000685871,0.001022945,0.000685871,0.000377112,0.000685871,4.46E-05,0.000685871,0.002345249,0.000685871,0.004185969,0.000685871,0.001952728,0.000685871,0.000699101,0.000685871,0.007598831,0.000685871,0.001972404,0.000685871,0.003437712,0.000685871,0.004048992,0.000685871,0.00034574,0.000685871,0.051852846,0.000685871,0.072554684,0.000685871,0.004958742,0.000685871,8.52E-05,0.000685871,0.005638481,0.000685871,0.699337868,0.5,0.000310187,0.000685871,0.364091872,0.5,0.001292655,0.000685871,0.002086533,0.000685871,0.00446517,0.000685871,0.020721763,0.000685871,0.010145265,0.000685871,0.001299167,0.000685871,0.002198601,0.000685871,0.000131125,0.000685871,0.009831928,0.000685871
2010,0.01237228,0.000685871,0.000326085,0.000685871,0.004200582,0.000685871,0.000261115,0.000685871,0.006487689,0.000685871,0.007003792,0.000685871,0.018120049,0.000685871,0.004698723,0.000685871,0.002266846,0.000685871,0.003462211,0.000685871,0.002872409,0.000685871,0.001050615,0.000685871,0.00120018,0.000685871,0.000694917,0.000685871,0.017919211,0.000685871,0.018710342,0.000685871,0.000308278,0.000685871,0.00026487,0.000685871,0.010168346,0.000685871,0.000659491,0.000685871,0.001493521,0.000685871,0.000492706,0.000685871,0.000274836,0.000685871,0.000476929,0.000685871,0.659221984,0.5,0.002338923,0.000685871,0.000560466,0.000685871,0.304325688,0.5,0.017233694,0.000685871,0.001109845,0.000685871
2011,0.022104164,0.000685871,0.00153654,0.000685871,0.000113382,0.000685871,0.000280049,0.000685871,0.026531848,0.000685871,0.029310543,0.000685871,0.001999445,0.000685871,0.000524014,0.000685871,0.003573389,0.000685871,0.001687676,0.000685871,0.000974038,0.000685871,0.00079546,0.000685871,0.002205038,0.000685871,0.000826024,0.000685871,0.002331202,0.000685871,0.004280931,0.000685871,0.002281916,0.000685871,0.001065412,0.000685871,0.003387198,0.000685871,0.001157576,0.000685871,0.001198679,0.000685871,8.57E-05,0.000685871,0.000637609,0.000685871,0.000444724,0.000685871,0.018569121,0.000685871,0.36100142,0.5,0.044990051,0.000685871,0.610939186,0.5,0.001075923,0.000685871,0.000848328,0.000685871
2012,0.022298437,0.000685871,0.000504464,0.000685871,0.000112642,0.000685871,0.000317181,0.000685871,0.006572369,0.000685871,0.019840198,0.000685871,0.002180319,0.000685871,0.000311113,0.000685871,0.002213159,0.000685871,0.000718114,0.000685871,0.40449958,0.5,0.000503166,0.000685871,0.00101248,0.000685871,0.000510959,0.000685871,0.014354527,0.000685871,0.059738845,0.000685871,0.001272314,0.000685871,0.004885956,0.000685871,0.000501879,0.000685871,0.000197017,0.000685871,0.002923989,0.000685871,0.002183116,0.000685871,0.011307466,0.000685871,0.000144385,0.000685871,0.441761823,0.5,0.001777463,0.000685871,0.002611464,0.000685871,0.006306042,0.000685871,0.001996399,0.000685871,0.004612745,0.000685871
2013,0.00055417,0.000685871,7.74E-05,0.000685871,0.000114163,0.000685871,3.80E-05,0.000685871,0.813994966,0.5,0.030693979,0.000685871,2.31E-05,0.000685871,0.000840149,0.000685871,0.000802929,0.000685871,0.000203747,0.000685871,0.00035098,0.000685871,0.000611174,0.000685871,0.001389774,0.000685871,8.45E-05,0.000685871,0.005469885,0.000685871,0.006632765,0.000685871,3.63E-05,0.000685871,0.000203736,0.000685871,0.000154387,0.000685871,0.000195528,0.000685871,0.005703971,0.000685871,0.064271441,0.000685871,0.000636121,0.000685871,1.83E-05,0.000685871,0.002125272,0.000685871,0.698924641,0.5,0.000128066,0.000685871,0.001653758,0.000685871,0.000305485,0.000685871,0.000471066,0.000685871
2014,0.013453435,0.000685871,0.000557201,0.000685871,0.000111715,0.000685871,0.001031898,0.000685871,0.000141054,0.000685871,0.003040653,0.000685871,0.003736426,0.000685871,0.002368337,0.000685871,6.31E-05,0.000685871,0.007711984,0.000685871,0.00080476,0.000685871,3.02E-05,0.000685871,0.000689065,0.000685871,0.102890154,0.5,0.015636118,0.000685871,0.012303152,0.000685871,0.000136617,0.000685871,0.000314142,0.000685871,0.000751819,0.000685871,0.000361469,0.000685871,0.000612412,0.000685871,0.008601488,0.000685871,0.00028273,0.000685871,0.006380496,0.000685871,0.58498812,0.5,0.046516436,0.000685871,0.000394742,0.000685871,0.002394044,0.000685871,0.000581937,0.000685871,0.00011427,0.000685871
2015,0.006972249,0.000685871,2.33E-05,0.000685871,0.000240795,0.000685871,0.001353333,0.000685871,0.001675215,0.000685871,0.009388168,0.000685871,0.001222164,0.000685871,0.00021604,0.000685871,0.000600662,0.000685871,0.00043784,0.000685871,0.003386829,0.000685871,0.00082091,0.000685871,0.009660478,0.000685871,0.817712641,0.5,0.001297565,0.000685871,0.001979527,0.000685871,0.000166599,0.000685871,0.136692306,0.5,0.000992538,0.000685871,0.002634228,0.000685871,0.000195123,0.000685871,0.002034203,0.000685871,0.000759733,0.000685871,0.000423108,0.000685871,0.004953248,0.000685871,0.000369402,0.000685871,0.003841767,0.000685871,0.017046208,0.000685871,0.00536929,0.000685871,2.96E-05,0.000685871
2016,0.000613922,0.000685871,0.002183906,0.000685871,0.003224505,0.000685871,0.000158535,0.000685871,0.006418854,0.000685871,0.865689721,0.5,0.000784237,0.000685871,0.003343823,0.000685871,0.060028484,0.5,0.007011446,0.000685871,0.000618488,0.000685871,0.002039344,0.000685871,0.000165671,0.000685871,0.000700147,0.000685871,0.015864838,0.000685871,7.91E-05,0.000685871,0.000180656,0.000685871,8.25E-05,0.000685871,8.95E-05,0.000685871,0.000233495,0.000685871,0.001661679,0.000685871,0.000198548,0.000685871,0.005026585,0.000685871,0.000276125,0.000685871,0.001597916,0.000685871,0.008138883,0.000685871,0.001827107,0.000685871,0.002766581,0.000685871,0.000371154,0.000685871,0.000959168,0.000685871
2017,0.001597209,0.000685871,0.005868412,0.000685871,0.016842307,0.000685871,0.000280949,0.000685871,0.000277035,0.000685871,0.040245882,0.000685871,0.039025453,0.000685871,0.007102468,0.000685871,0.00040838,0.000685871,0.001531445,0.000685871,0.001399044,0.000685871,0.020202787,0.000685871,0.915514485,0.5,0.000499214,0.000685871,0.549849527,0.5,0.000751347,0.000685871,0.000280733,0.000685871,0.000831654,0.000685871,0.002933085,0.000685871,0.00050636,0.000685871,0.000276746,0.000685871,0.002183631,0.000685871,0.001663942,0.000685871,0.007720664,0.000685871,0.000142667,0.000685871,0.005443536,0.000685871,0.000160781,0.000685871,0.013111966,0.000685871,0.000223003,0.000685871,0.001256133,0.000685871
2018,0.003912594,0.000685871,0.000258865,0.000685871,0.113596287,0.000685871,0.000324037,0.000685871,0.408179366,0.5,0.006860224,0.000685871,0.040870106,0.000685871,0.000140955,0.000685871,0.000687924,0.000685871,0.00358484,0.000685871,0.001094017,0.000685871,0.003009796,0.000685871,0.006627188,0.000685871,0.000880179,0.000685871,0.349641425,0.5,0.00607046,0.000685871,0.000470962,0.000685871,0.003449246,0.000685871,0.000556847,0.000685871,0.006093512,0.000685871,0.001990065,0.000685871,0.0010801,0.000685871,0.000199169,0.000685871,0.002752966,0.000685871,0.001105602,0.000685871,0.015019496,0.000685871,0.054721289,0.000685871,0.003362452,0.000685871,0.003356725,0.000685871,0.000805942,0.000685871
2019,0.004234255,0.000685871,0.001812874,0.000685871,0.000287521,0.000685871,0.002258569,0.000685871,0.002993978,0.000685871,0.01206194,0.000685871,0.013360993,0.000685871,0.020776134,0.000685871,0.000106947,0.000685871,0.001182273,0.000685871,0.00014441,0.000685871,0.021586166,0.000685871,0.326747069,0.5,0.001270643,0.000685871,0.10544752,0.000685871,0.002280821,0.000685871,0.003754186,0.000685871,0.023031042,0.000685871,0.001561777,0.000685871,0.003550684,0.000685871,0.000375882,0.000685871,0.012861914,0.000685871,0.002267956,0.000685871,0.000852805,0.000685871,0.001216757,0.000685871,0.010012839,0.000685871,0.001745241,0.000685871,0.001383153,0.000685871,0.000765738,0.000685871,0.742338332,0.5
2020,0.03568384,0.000685871,0.01740051,0.000685871,0.016026993,0.000685871,0.056642291,0.000685871,0.008944799,0.000685871,0.017495387,0.000685871,0.039277394,0.000685871,0.049778037,0.000685871,0.001433322,0.000685871,0.005715705,0.000685871,0.070424604,0.000685871,0.177160086,0.000685871,0.010742561,0.000685871,0.008353034,0.000685871,0.614578407,0.5,0.037603442,0.000685871,0.002755582,0.000685871,0.105151017,0.000685871,0.039130175,0.000685871,0.006937138,0.000685871,0.012299121,0.000685871,0.042687193,0.000685871,0.048911275,0.000685871,0.217195653,0.000685871,0.14228817,0.000685871,0.11341836,0.000685871,0.478692925,0.5,0.036288611,0.000685871,0.013356488,0.000685871,0.006437304,0.000685871
2021,0.013646897,0.000685871,0.00247711,0.000685871,0.455418066,0.5,0.001921616,0.000685871,0.002597171,0.000685871,0.052579644,0.000685871,0.024256631,0.000685871,0.032799089,0.000685871,0.006742567,0.000685871,0.007856262,0.000685871,0.000498447,0.000685871,0.007503286,0.000685871,0.432302497,0.5,0.002337708,0.000685871,0.056450572,0.000685871,0.053015849,0.000685871,0.001590114,0.000685871,0.065272361,0.000685871,0.00052971,0.000685871,0.000921192,0.000685871,0.004550736,0.000685871,0.000718134,0.000685871,0.004934218,0.000685871,0.000963275,0.000685871,0.001478891,0.000685871,0.25948605,0.000685871,0.003515023,0.000685871,0.003542994,0.000685871,0.001319277,0.000685871,0.023336055,0.000685871
2022,0.013409107,0.000685871,0.002341398,0.000685871,0.018730576,0.000685871,0.00078699,0.000685871,0.005481419,0.000685871,0.015708904,0.000685871,0.005528382,0.000685871,0.017306744,0.000685871,0.005895368,0.000685871,0.006599467,0.000685871,0.001071264,0.000685871,0.001383895,0.000685871,0.624041151,0.5,0.000270436,0.000685871,0.007518057,0.000685871,0.010923425,0.000685871,0.001171805,0.000685871,0.035586954,0.000685871,0.005883936,0.000685871,0.000649789,0.000685871,0.296180465,0.5,0.002400091,0.000685871,0.003870434,0.000685871,0.001034413,0.000685871,0.002699169,0.000685871,0.034316599,0.000685871,0.000434539,0.000685871,0.00319443,0.000685871,0.002110367,0.000685871,0.0024185,0.000685871
2023,0.010409915,0.000685871,0.497819436,0.5,0.030870595,0.000685871,0.002086323,0.000685871,0.01586611,0.000685871,0.021967997,0.000685871,0.01422712,0.000685871,0.071278792,0.000685871,0.002268921,0.000685871,0.004778913,0.000685871,0.002145065,0.000685871,0.001660546,0.000685871,0.012869962,0.000685871,0.035278678,0.000685871,0.015506455,0.000685871,0.00512536,0.000685871,0.006718561,0.000685871,0.075656442,0.000685871,0.001554058,0.000685871,0.059134827,0.000685871,0.036801896,0.000685871,0.011679491,0.000685871,0.003462889,0.000685871,0.032595295,0.000685871,0.002016942,0.000685871,0.000531805,0.000685871,0.107326832,0.000685871,0.499644929,0.5,0.003295982,0.000685871,0.007113275,0.000685871
